id,IPL_year,Match_Info,Match_Date,Match_Team,Match_Result,Match_Cricbuzz_URL,URL,Stadium,Location,Highlights_available
2592982,2012,62nd Match,14-05-2012,ROYAL CHALLENGERS BANGALORE vs MUMBAI INDIANS,Mumbai Indians won by 5 wkts,https://www.cricbuzz.com/cricket-scores/11242/rcb-vs-mi-62nd-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11242/rcb-vs-mi-62nd-match-indian-premier-league-2012,M.Chinnaswamy Stadium,Bengaluru,FALSE
3184289,2012,63rd Match,14-05-2012,KOLKATA KNIGHT RIDERS vs CHENNAI SUPER KINGS,Chennai Super Kings won by 5 wkts,https://www.cricbuzz.com/cricket-scores/11243/kkr-vs-csk-63rd-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11243/kkr-vs-csk-63rd-match-indian-premier-league-2012,Eden Gardens,Kolkata,FALSE
6926342,2012,64th Match,15-05-2012,DELHI CAPITALS vs KINGS XI PUNJAB,Delhi Daredevils won by 5 wkts,https://www.cricbuzz.com/cricket-scores/11244/dc-vs-kxip-64th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11244/dc-vs-kxip-64th-match-indian-premier-league-2012,Arun Jaitley Stadium,Delhi,FALSE
7530724,2012,65th Match,16-05-2012,MUMBAI INDIANS vs KOLKATA KNIGHT RIDERS,Kolkata Knight Riders won by 32 runs,https://www.cricbuzz.com/cricket-scores/11245/mi-vs-kkr-65th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11245/mi-vs-kkr-65th-match-indian-premier-league-2012,Wankhede Stadium,Mumbai,FALSE
7507291,2012,66th Match,17-05-2012,KINGS XI PUNJAB vs CHENNAI SUPER KINGS,Kings XI Punjab won by 6 wkts,https://www.cricbuzz.com/cricket-scores/11246/kxip-vs-csk-66th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11246/kxip-vs-csk-66th-match-indian-premier-league-2012,Himachal Pradesh Cricket Association Stadium,Dharamsala,FALSE
6598693,2012,67th Match,17-05-2012,DELHI CAPITALS vs ROYAL CHALLENGERS BANGALORE,Royal Challengers Bangalore won by 21 runs,https://www.cricbuzz.com/cricket-scores/11247/dc-vs-rcb-67th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11247/dc-vs-rcb-67th-match-indian-premier-league-2012,Arun Jaitley Stadium,Delhi,FALSE
6809650,2012,68th Match,18-05-2012,DECCAN CHARGERS vs RAJASTHAN ROYALS,Deccan Chargers won by 5 wkts,https://www.cricbuzz.com/cricket-scores/11248/dcg-vs-rr-68th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11248/dcg-vs-rr-68th-match-indian-premier-league-2012,Rajiv Gandhi International Stadium,Hyderabad,FALSE
3687794,2012,69th Match,19-05-2012,KINGS XI PUNJAB vs DELHI CAPITALS,Delhi Daredevils won by 6 wkts,https://www.cricbuzz.com/cricket-scores/11249/kxip-vs-dc-69th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11249/kxip-vs-dc-69th-match-indian-premier-league-2012,Himachal Pradesh Cricket Association Stadium,Dharamsala,FALSE
4719982,2012,70th Match,19-05-2012,PUNE WARRIORS vs KOLKATA KNIGHT RIDERS,Kolkata Knight Riders won by 34 runs,https://www.cricbuzz.com/cricket-scores/11250/pwi-vs-kkr-70th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11250/pwi-vs-kkr-70th-match-indian-premier-league-2012,Maharashtra Cricket Association Stadium,Pune,FALSE
8744231,2012,71st Match,20-05-2012,DECCAN CHARGERS vs ROYAL CHALLENGERS BANGALORE,Deccan Chargers won by 9 runs,https://www.cricbuzz.com/cricket-scores/11251/dcg-vs-rcb-71st-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11251/dcg-vs-rcb-71st-match-indian-premier-league-2012,Rajiv Gandhi International Stadium,Hyderabad,FALSE
7447099,2012,72nd Match,20-05-2012,RAJASTHAN ROYALS vs MUMBAI INDIANS,Mumbai Indians won by 10 wkts,https://www.cricbuzz.com/cricket-scores/11252/rr-vs-mi-72nd-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11252/rr-vs-mi-72nd-match-indian-premier-league-2012,Sawai Mansingh Stadium,Jaipur,FALSE
7224232,2012,Qualifier 1 (1st v 2nd),22-05-2012,DELHI CAPITALS vs KOLKATA KNIGHT RIDERS,Kolkata Knight Riders won by 18 runs,https://www.cricbuzz.com/cricket-scores/11253/dc-vs-kkr-qualifier-1-1st-v-2nd-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11253/dc-vs-kkr-qualifier-1-1st-v-2nd-indian-premier-league-2012,Maharashtra Cricket Association Stadium,Pune,FALSE
9269342,2012,Eliminator (3rd v 4th),23-05-2012,MUMBAI INDIANS vs CHENNAI SUPER KINGS,Chennai Super Kings won by 38 runs,https://www.cricbuzz.com/cricket-scores/11254/mi-vs-csk-eliminator-3rd-v-4th-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11254/mi-vs-csk-eliminator-3rd-v-4th-indian-premier-league-2012,M.Chinnaswamy Stadium,Bengaluru,FALSE
8766960,2012,Qualifier 2,25-05-2012,CHENNAI SUPER KINGS vs DELHI CAPITALS,Chennai Super Kings won by 86 runs,https://www.cricbuzz.com/cricket-scores/11255/csk-vs-dc-qualifier-2-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11255/csk-vs-dc-qualifier-2-indian-premier-league-2012,MA Chidambaram Stadium,Chennai,FALSE
4922370,2012,Final,27-05-2012,CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS,Kolkata Knight Riders won by 5 wkts,https://www.cricbuzz.com/cricket-scores/11256/csk-vs-kkr-final-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11256/csk-vs-kkr-final-indian-premier-league-2012,MA Chidambaram Stadium,Chennai,FALSE
1754396,2013,1st Match,03-04-2013,KOLKATA KNIGHT RIDERS vs DELHI CAPITALS,Kolkata Knight Riders won by 6 wkts,https://www.cricbuzz.com/cricket-scores/11866/kkr-vs-dc-1st-match-indian-premier-league-2013,https://www.cricbuzz.com/live-cricket-scorecard/11866/kkr-vs-dc-1st-match-indian-premier-league-2013,Eden Gardens,Kolkata,FALSE
4501196,2013,2nd Match,04-04-2013,ROYAL CHALLENGERS BANGALORE vs MUMBAI INDIANS,Royal Challengers Bangalore won by 2 runs,https://www.cricbuzz.com/cricket-scores/11867/rcb-vs-mi-2nd-match-indian-premier-league-2013,https://www.cricbuzz.com/live-cricket-scorecard/11867/rcb-vs-mi-2nd-match-indian-premier-league-2013,M.Chinnaswamy Stadium,Bengaluru,FALSE
9745722,2013,3rd Match,05-04-2013,SUNRISERS HYDERABAD vs PUNE WARRIORS,Sunrisers Hyderabad won by 22 runs,https://www.cricbuzz.com/cricket-scores/11868/srh-vs-pwi-3rd-match-indian-premier-league-2013,https://www.cricbuzz.com/live-cricket-scorecard/11868/srh-vs-pwi-3rd-match-indian-premier-league-2013,Rajiv Gandhi International Stadium,Hyderabad,FALSE
7594977,2013,4th Match,06-04-2013,DELHI CAPITALS vs RAJASTHAN ROYALS,Rajasthan Royals won by 5 runs,https://www.cricbuzz.com/cricket-scores/11869/dc-vs-rr-4th-match-indian-premier-league-2013,https://www.cricbuzz.com/live-cricket-scorecard/11869/dc-vs-rr-4th-match-indian-premier-league-2013,Arun Jaitley Stadium,Delhi,FALSE
